```csv
obiettivo,id,data,indicatore,utente,testo
0,1468192697,Mar Apr 07 00:13:06 PDT 2009,NO_QUERY,angelroxy,"Buongiorno a tutti. Sono così stanca oggi, avrei dovuto rimanere a letto"
0,1468192755,Mar Apr 07 00:13:07 PDT 2009,NO_QUERY,MrAntony,in città. Ho dimenticato di caricare il telefono, quindi non credo che durerà tutto il giorno
0,1468192771,Mar Apr 07 00:13:07 PDT 2009,NO_QUERY,kantstopkaren,perché devo essere sveglia a quest'ora intempestiva
0,1468192780,Mar Apr 07 00:13:08 PDT 2009,NO_QUERY,Dannny91,"non voglio andare a scuola domani per un esame, dopo aver avuto una settimana e mezza di vacanza"
0,1468192862,Mar Apr 07 00:13:12 PDT 2009,NO_QUERY,causticchick,"@Kal_Penn La cosa che fa più schifo è che tu eri quello per cui ero più entusiasta, anche prima di sapere chi sarebbe stata la squadra finale."
0,1468192971,Mar Apr 07 00:13:12 PDT 2009,NO_QUERY,Katernater,Non riesco a dormire. Fa troppo vento e fuori è spaventoso.
0,1468193048,Mar Apr 07 00:13:13 PDT 2009,NO_QUERY,svgrob,@darylsws i bambini sono in vacanza
0,1468193142,Mar Apr 07 00:13:15 PDT 2009,NO_QUERY,T_Vee,campo estivo o scuola estiva?? Entrambi sono collegiali lol.
0,1468193149,Mar Apr 07 00:13:16 PDT 2009,NO_QUERY,babyhoney73,dopo le 2 del mattino e continuo a starnutire e soffiare il naso. non riesco a dormire. la mattina arriverà troppo presto
0,1468193375,Mar Apr 07 00:13:20 PDT 2009,NO_QUERY,Mina_Minaa,questi ragazzi che sono soci di Bill Gates mi fanno sentire come se non sapessi nulla!!! Non so nemmeno più il mio nome
0,1468193469,Mar Apr 07 00:13:23 PDT 2009,NO_QUERY,AcmePhoto,"Oh no!!!!!!!!!!!!! @AzPPA ha appena inviato un'email per la convention statale... 17-18 maggio e c'era Papyrus dappertutto. Triste, perché volevo partecipare!"
0,1468193629,Mar Apr 07 00:13:26 PDT 2009,NO_QUERY,janislim,@pelf81 ma il lavoro richiede molto di più
0,1468194126,Mar Apr 07 00:13:36 PDT 2009,NO_QUERY,christeeze,guardando Greek. non riesco a credere che sia l'ultimo giorno che vi vedrò ragazzi. 20 giugno.... ahh.
0,1468194562,Mar Apr 07 00:13:44 PDT 2009,NO_QUERY,CamHoplater,È tornato alle cabine Ew!
0,1468194680,Mar Apr 07 00:13:47 PDT 2009,NO_QUERY,arpik,terrorizzato dalle notizie dall'Italia http://tinyurl.com/dhdpne
0,1468194775,Mar Apr 07 00:13:49 PDT 2009,NO_QUERY,bondibeachgirl,@lili_marlene Ohh che sfortuna
0,1468194966,Mar Apr 07 00:13:53 PDT 2009,NO_QUERY,ItzherS0le,@brainiacmathew lo so! e sono in vacanza di primavera
0,1468195008,Mar Apr 07 00:13:53 PDT 2009,NO_QUERY,firahzulkifli,ha estremamente fame
0,1468195190,Mar Apr 07 00:13:57 PDT 2009,NO_QUERY,MDotSmit,Sarà una noooooooooooooottttttteeeeeee lunghissima al lavoro
0,1468195269,Mar Apr 07 00:13:59 PDT 2009,NO_QUERY,BennyDunk,@Jennchambless neanch'io e nessuno è sveglio... NESSUNO. Sono ubriaco e solo
0,1468195501,Mar Apr 07 00:14:03 PDT 2009,NO_QUERY,shawna_lee,"@dark_butterfly Non solo tu. Anch'io pensavo che sembrasse più pallido. Probabilmente a causa delle riprese. Jun sembra più in salute che mai, però."
0,1468195621,Mar Apr 07 00:14:05 PDT 2009,NO_QUERY,sayhellojuliet,.. triste sentire della scoperta della bambina di Tracy. La sua povera famiglia
